Classi?er,Modality,Precision,Recall,F1
K-Nearest neighbor,metadata,0.607,0.654,0.63
Nearest mean classi?er,metadata,0.603,0.579,0.591
Decision tree,metadata,0.538,0.591,0.563
Logistic regression,metadata,0.548,0.609,0.578
SVM (Gaussian Kernel),metadata,0.501,0.672,0.574
Bagging,metadata,0.604,0.662,0.631
Random Forest,metadata,0.559,0.593,0.576
AdaBoost,metadata,0.511,0.563,0.536
Gradient Boosting Tree,metadata,0.544,0.596,0.569
Naive Bayes,textual,0.545,0.987,0.702
K-Nearest neighbor,textual,0.549,0.844,0.666
SVM (Gaussian Kernel),textual,0.547,1,0.707
K-Nearest neighbor,visual,0.582,0.636,0.608
Decision tree,visual,0.521,0.55,0.535
Logistic regression,visual,0.616,0.6,0.608
SVM (Gaussian Kernel),visual,0.511,0.67,0.58
Random Forest,visual,0.614,0.664,0.638
AdaBoost,visual,0.601,0.717,0.654
Gradient Boosting Tree,visual,0.561,0.616,0.587
Logistic regression,audio,0.507,0.597,0.546
Gradient Boosting Tree,audio,0.56,0.617,0.58
