,Classifier,Modality,Precision,Recall,F1,Best Features
0,k-Nearest neighbor,audio,0.55,0.65,0.59,1
1,Decision tree,audio,0.623,0.56,0.577,3
2,Logistic regression,audio,0.593,0.763,0.666,1
3,SVM (Gaussian Kernel),audio,0.544,0.75,0.621,4
4,Random Forest,audio,0.604,0.64,0.618,4
5,AdaBoost,audio,0.515,0.567,0.523,13
6,Gradient Boosting Tree,audio,0.574,0.603,0.578,13
7,Naive Bayes,audio,0.543,0.983,0.699,1
8,k-Nearest neighbor,textual,0.588,0.757,0.586,1859
9,Decision tree,textual,0.644,0.76,0.682,761
10,Logistic regression,textual,0.552,0.617,0.575,2480
11,SVM (Gaussian Kernel),textual,0.527,0.903,0.664,3282
12,Bagging,textual,0.615,0.72,0.641,3282
13,Random Forest,textual,0.6,0.867,0.705,3282
14,AdaBoost,textual,0.593,0.667,0.616,3282
15,Gradient Boosting Tree,textual,0.644,0.89,0.741,3282
16,Naive Bayes,textual,0.604,0.753,0.667,1734
17,k-Nearest neighbor,visual,0.621,0.64,0.624,1384
18,Decision tree,visual,0.55,0.633,0.582,1652
19,Logistic regression,visual,0.639,0.663,0.637,1652
20,SVM (Gaussian Kernel),visual,0.614,0.92,0.735,525
21,Bagging,visual,0.593,0.677,0.615,1603
22,Random Forest,visual,0.53,0.607,0.545,1652
23,AdaBoost,visual,0.61,0.657,0.624,1187
24,Gradient Boosting Tree,visual,0.568,0.56,0.558,1652
25,Naive Bayes,visual,0.579,0.577,0.563,937
26,k-Nearest neighbor,visual (avg),0.545,0.603,0.57,318
27,Decision tree,visual (avg),0.575,0.577,0.566,826
28,Logistic regression,visual (avg),0.609,0.867,0.712,61
29,SVM (Gaussian Kernel),visual (avg),0.62,0.883,0.725,71
30,Bagging,visual (avg),0.578,0.63,0.598,406
31,Random Forest,visual (avg),0.533,0.62,0.565,826
32,AdaBoost,visual (avg),0.606,0.6,0.592,826
33,Gradient Boosting Tree,visual (avg),0.62,0.663,0.622,735
34,Naive Bayes,visual (avg),0.548,0.687,0.588,808
35,k-Nearest neighbor,metadata,0.579,0.557,0.56,75
36,Decision tree,metadata,0.628,0.57,0.573,42
37,Logistic regression,metadata,0.553,0.883,0.672,8
38,SVM (Gaussian Kernel),metadata,0.548,1.0,0.707,70
39,Random Forest,metadata,0.565,0.633,0.587,6
40,Gradient Boosting Tree,metadata,0.609,0.59,0.589,68
